sample_id,video_path,tactile_path,object_id,physical_object_uid,source_medium,target_medium,reference_medium,direction,water_condition,lift_speed,placement_variant,trial_result,t_start,t_contact_all,t_grasp_stable,t_if_enter,t_if_exit,t_end,notes,sync_offset_sec,sync_audit_status,sync_audit_note
S0035,raw/videos/S0035.mp4,raw/tactile/S0035.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,normal,fail,0,2.1,6.667,8.467,10.667,20.8,,0,verified_zero,
S0036,raw/videos/S0036.mp4,raw/tactile/S0036.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,normal,fail,0,2.867,6.633,8.433,,12.7,,0,verified_zero,
S0037,raw/videos/S0037.mp4,raw/tactile/S0037.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,normal,stable,0,2.1,8.7,9.7,11.933,24.267,,0,verified_zero,
S0038,raw/videos/S0038.mp4,raw/tactile/S0038.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,normal,stable,0,2.1,7.667,9.067,11.133,23.3,,0,verified_zero,
S0039,raw/videos/S0039.mp4,raw/tactile/S0039.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,normal,stable,0,2.1,7.9,10.3,12.233,24.767,,0,verified_zero,
S0040,raw/videos/S0040.mp4,raw/tactile/S0040.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,normal,stable,0,3.367,7.333,9.033,11.633,23.4,,0,verified_zero,
S0041,raw/videos/S0041.mp4,raw/tactile/S0041.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,normal,stable,0,3.667,9.233,10.933,12.933,24.933,,0,verified_zero,
S0042,raw/videos/S0042.mp4,raw/tactile/S0042.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,rotate,stable,0,2.333,6.967,9.4,11.4,23.333,,0,verified_zero,
S0043,raw/videos/S0043.mp4,raw/tactile/S0043.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,rotate,stable,0,4.233,6.767,9,10.933,23.7,,0,verified_zero,
S0044,raw/videos/S0044.mp4,raw/tactile/S0044.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,fast,normal,stable,0,4.333,8.267,10.2,11.267,18.867,,0.4,manually_corrected,
S0045,raw/videos/S0045.mp4,raw/tactile/S0045.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,fast,normal,stable,0,3.8,7.567,9.567,10.667,17.7,,0,verified_zero,
S0046,raw/videos/S0046.mp4,raw/tactile/S0046.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,fast,normal,stable,0,4.1,7.5,9.1,10.567,17.933,,0,verified_zero,
S0047,raw/videos/S0047.mp4,raw/tactile/S0047.txt,OBJ003,VT_OBJ003,water,air,water,W2A,turbid,normal,normal,stable,0,1.433,9.133,11,13.533,24.9,,-0.6,manually_corrected,
S0048,raw/videos/S0048.mp4,raw/tactile/S0048.txt,OBJ003,VT_OBJ003,water,air,water,W2A,turbid,normal,normal,stable,0,1.7,8.733,10.333,12.433,24.8,,0,verified_zero,
S0049,raw/videos/S0049.mp4,raw/tactile/S0049.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,inverse,fail,0,1.267,7.333,8.5,10.967,13.967,,0,verified_zero,
S0050,raw/videos/S0050.mp4,raw/tactile/S0050.txt,OBJ003,VT_OBJ003,water,air,water,W2A,clear,normal,inverse,fail,0,1.833,10.1,12.6,14.767,16.867,,0,verified_zero,
S0051,raw/videos/S0051.mp4,raw/tactile/S0051.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,normal,stable,0,1.4,7.967,9.367,11.967,24.433,,0,verified_zero,
S0052,raw/videos/S0052.mp4,raw/tactile/S0052.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,normal,stable,0,1.433,7.667,9.633,11.733,23.7,,0,verified_zero,
S0053,raw/videos/S0053.mp4,raw/tactile/S0053.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,normal,stable,0,1.533,7.3,8.867,11.033,24.767,,0,verified_zero,
S0054,raw/videos/S0054.mp4,raw/tactile/S0054.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,normal,stable,0,1.567,7.867,8.9,10.967,24.933,,0,verified_zero,
S0055,raw/videos/S0055.mp4,raw/tactile/S0055.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,normal,stable,0,2.467,8.667,9.533,11.767,23.867,,0,verified_zero,
S0056,raw/videos/S0056.mp4,raw/tactile/S0056.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,normal,stable,0,2.233,7.333,9.3,11.567,23.933,,0,verified_zero,
S0057,raw/videos/S0057.mp4,raw/tactile/S0057.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,normal,stable,0,1.633,7.567,9.1,11.167,24.4,,0,verified_zero,
S0058,raw/videos/S0058.mp4,raw/tactile/S0058.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,rotate,stable,0,1.367,7.367,8.933,11.1,23.6,,0,verified_zero,
S0059,raw/videos/S0059.mp4,raw/tactile/S0059.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,rotate,stable,0,1.3,8.367,8.933,11.467,24.233,,0,verified_zero,
S0060,raw/videos/S0060.mp4,raw/tactile/S0060.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,fast,normal,stable,0,1.433,7.267,8.5,10.2,18.467,,0,verified_zero,
S0061,raw/videos/S0061.mp4,raw/tactile/S0061.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,fast,normal,stable,0,1.433,7.6,8.8,10.1,17.467,,0,verified_zero,
S0062,raw/videos/S0062.mp4,raw/tactile/S0062.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,fast,normal,stable,0,1.667,8,9.733,11.133,18,,0,verified_zero,
S0063,raw/videos/S0063.mp4,raw/tactile/S0063.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,normal,fail,0,1.2,6.733,8.233,,10.233,,0,verified_zero,
S0064,raw/videos/S0064.mp4,raw/tactile/S0064.txt,OBJ004,VT_OBJ004,water,air,water,W2A,turbid,normal,normal,stable,0,3.167,9.933,10.967,13.433,24.9,,0,verified_zero,
S0065,raw/videos/S0065.mp4,raw/tactile/S0065.txt,OBJ004,VT_OBJ004,water,air,water,W2A,turbid,normal,normal,stable,0,2.433,7.633,9.267,11.633,23.867,,0,verified_zero,
S0066,raw/videos/S0066.mp4,raw/tactile/S0066.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,inverse,stable,0,1.867,7.2,8.5,10.833,22.733,,0,verified_zero,
S0067,raw/videos/S0067.mp4,raw/tactile/S0067.txt,OBJ004,VT_OBJ004,water,air,water,W2A,clear,normal,inverse,stable,0,1.833,7.367,8.2,10.667,22.567,,0,verified_zero,
S0068,raw/videos/S0068.mp4,raw/tactile/S0068.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,0.733,6.6,8.733,11.3,23.233,,0,verified_zero,
S0069,raw/videos/S0069.mp4,raw/tactile/S0069.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,3.1,6.767,10.233,12.833,24.833,,0,verified_zero,
S0070,raw/videos/S0070.mp4,raw/tactile/S0070.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,2.967,7.133,14.133,16.833,24.933,,0,verified_zero,
S0071,raw/videos/S0071.mp4,raw/tactile/S0071.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,2.233,7.567,8,10.5,23.367,,0,verified_zero,
S0072,raw/videos/S0072.mp4,raw/tactile/S0072.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,0.467,10.033,11.067,13.867,24.933,,0,verified_zero,
S0073,raw/videos/S0073.mp4,raw/tactile/S0073.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,fail,0,0.467,5.833,7.633,,9.433,,0,verified_zero,
S0074,raw/videos/S0074.mp4,raw/tactile/S0074.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,0.567,6.667,8.1,10.633,22.733,,0,verified_zero,
S0075,raw/videos/S0075.mp4,raw/tactile/S0075.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,0.6,6.433,7.967,11.133,22.533,,0,verified_zero,
S0076,raw/videos/S0076.mp4,raw/tactile/S0076.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,0.533,6.833,8.167,11.667,22.033,,0,verified_zero,
S0077,raw/videos/S0077.mp4,raw/tactile/S0077.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,normal,normal,stable,0,0.7,6.267,7.967,11.133,23.2,,0,verified_zero,
S0078,raw/videos/S0078.mp4,raw/tactile/S0078.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,fast,normal,stable,0,0.8,6.633,9.133,11.067,18.567,,0,verified_zero,
S0079,raw/videos/S0079.mp4,raw/tactile/S0079.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,fast,normal,stable,0,0.8,7.267,9.233,11.267,17.967,,0,verified_zero,
S0080,raw/videos/S0080.mp4,raw/tactile/S0080.txt,OBJ005,VT_OBJ005,water,air,water,W2A,clear,fast,normal,stable,0,1.033,7.267,10.233,12.467,18.967,,0,verified_zero,
S0081,raw/videos/S0081.mp4,raw/tactile/S0081.txt,OBJ005,VT_OBJ005,water,air,water,W2A,turbid,normal,normal,stable,0,0.633,8.633,9.667,11.867,24.133,,-0.4,manually_corrected,
S0082,raw/videos/S0082.mp4,raw/tactile/S0082.txt,OBJ005,VT_OBJ005,water,air,water,W2A,turbid,normal,normal,stable,0,0.6,8.033,9.7,12.2,24.633,,0,verified_zero,
S0083,raw/videos/S0083.mp4,raw/tactile/S0083.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,1.933,7.8,12.533,14.933,24.933,,0,verified_zero,
S0084,raw/videos/S0084.mp4,raw/tactile/S0084.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,2.267,7.9,9.367,11.467,23.5,,0,verified_zero,
S0085,raw/videos/S0085.mp4,raw/tactile/S0085.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,2,7.233,9.733,11.667,24.333,,0,verified_zero,
S0086,raw/videos/S0086.mp4,raw/tactile/S0086.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,3.033,7.367,9.733,11.767,24.933,,0,verified_zero,
S0087,raw/videos/S0087.mp4,raw/tactile/S0087.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,3.167,7.167,8.667,11.067,23.167,,0,verified_zero,
S0088,raw/videos/S0088.mp4,raw/tactile/S0088.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,2.533,6.833,9.8,11.667,24.3,,0,verified_zero,
S0089,raw/videos/S0089.mp4,raw/tactile/S0089.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,1.767,8.033,9.533,11.4,23.9,,0,verified_zero,
S0090,raw/videos/S0090.mp4,raw/tactile/S0090.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,2.133,7.567,9.2,11.933,23.767,,0,verified_zero,
S0091,raw/videos/S0091.mp4,raw/tactile/S0091.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,stable,0,2.133,7.167,9,11.033,22.967,,0,verified_zero,
S0092,raw/videos/S0092.mp4,raw/tactile/S0092.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,fast,normal,stable,0,3.233,8.633,11.167,12.333,19.333,,0,verified_zero,
S0093,raw/videos/S0093.mp4,raw/tactile/S0093.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,fast,normal,stable,0,3.5,7.367,9.467,11.033,16.8,,0,verified_zero,
S0094,raw/videos/S0094.mp4,raw/tactile/S0094.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,fast,normal,stable,0,2.967,7.533,9.233,10.467,16.7,,0,verified_zero,
S0095,raw/videos/S0095.mp4,raw/tactile/S0095.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,normal,fail,0,2.433,6.267,8.933,,10.733,,0,verified_zero,
S0096,raw/videos/S0096.mp4,raw/tactile/S0096.txt,OBJ006,VT_OBJ006,water,air,water,W2A,turbid,normal,normal,stable,0,2.633,8.733,9.867,12.5,24.7,,0,verified_zero,
S0097,raw/videos/S0097.mp4,raw/tactile/S0097.txt,OBJ006,VT_OBJ006,water,air,water,W2A,turbid,normal,normal,stable,0,2.433,9.5,10.267,12.6,24.433,,0,verified_zero,
S0098,raw/videos/S0098.mp4,raw/tactile/S0098.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,inverse,stable,0,2.467,7.867,9.133,10.767,23.6,,0,verified_zero,
S0099,raw/videos/S0099.mp4,raw/tactile/S0099.txt,OBJ006,VT_OBJ006,water,air,water,W2A,clear,normal,inverse,stable,0,2.333,7.633,9.067,11.7,23.433,,0,verified_zero,
S0100,raw/videos/S0100.mp4,raw/tactile/S0100.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,2.367,8.333,10.333,12.767,24.5,,0,verified_zero,
S0101,raw/videos/S0101.mp4,raw/tactile/S0101.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,fail,0,1.733,9.567,11.167,13.767,15.167,,0,verified_zero,
S0102,raw/videos/S0102.mp4,raw/tactile/S0102.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,2.367,9.367,11.367,13.467,24.933,,0,verified_zero,
S0103,raw/videos/S0103.mp4,raw/tactile/S0103.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,1.933,9.433,11.067,13.267,24.733,,0,verified_zero,
S0104,raw/videos/S0104.mp4,raw/tactile/S0104.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,2,8.433,9.933,12.167,24.333,,0,verified_zero,
S0105,raw/videos/S0105.mp4,raw/tactile/S0105.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,1.6,10.1,11.167,12.633,24.933,,0,verified_zero,
S0106,raw/videos/S0106.mp4,raw/tactile/S0106.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,1.833,8.167,9.633,11.433,23.933,,0,verified_zero,
S0107,raw/videos/S0107.mp4,raw/tactile/S0107.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,1.733,9.667,11,12.867,24.933,,0,verified_zero,
S0108,raw/videos/S0108.mp4,raw/tactile/S0108.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,1.9,8.4,9.633,12.367,24.733,,0,verified_zero,
S0109,raw/videos/S0109.mp4,raw/tactile/S0109.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,normal,stable,0,2.333,10.4,11.9,14.267,24.933,,0,verified_zero,
S0110,raw/videos/S0110.mp4,raw/tactile/S0110.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,fast,normal,stable,0,2.2,8.733,9.867,11.533,18.233,,0,verified_zero,
S0111,raw/videos/S0111.mp4,raw/tactile/S0111.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,fast,normal,stable,0,2.433,9.567,11.167,13.133,19.3,,0,verified_zero,
S0112,raw/videos/S0112.mp4,raw/tactile/S0112.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,fast,normal,stable,0,2.867,7.433,10.567,12.167,18.8,,0,verified_zero,
S0113,raw/videos/S0113.mp4,raw/tactile/S0113.txt,OBJ007,VT_OBJ007,water,air,water,W2A,turbid,normal,normal,stable,0,4.667,11.633,13.067,15.267,24.933,,0,verified_zero,
S0114,raw/videos/S0114.mp4,raw/tactile/S0114.txt,OBJ007,VT_OBJ007,water,air,water,W2A,turbid,normal,normal,stable,0,4.6,13.967,15.2,17.333,24.933,,0,verified_zero,
S0115,raw/videos/S0115.mp4,raw/tactile/S0115.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,inverse,stable,0,1.667,7.433,8.067,11.333,21.833,,0,verified_zero,
S0116,raw/videos/S0116.mp4,raw/tactile/S0116.txt,OBJ007,VT_OBJ007,water,air,water,W2A,clear,normal,inverse,stable,0,1.867,9.633,10.833,13.233,24.833,,0,verified_zero,
S0117,raw/videos/S0117.mp4,raw/tactile/S0117.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,fail,0,2.633,6.3,7.567,,9.367,,0,verified_zero,
S0118,raw/videos/S0118.mp4,raw/tactile/S0118.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,fail,0,2.867,7.167,8.467,12.733,23.333,,0,verified_zero,
S0119,raw/videos/S0119.mp4,raw/tactile/S0119.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,stable,0,2.467,7.133,8.967,12.367,24.933,,0,verified_zero,
S0120,raw/videos/S0120.mp4,raw/tactile/S0120.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,stable,0,2.767,6.867,8.233,11.267,24.4,,0,verified_zero,
S0121,raw/videos/S0121.mp4,raw/tactile/S0121.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,stable,0,2.967,7.533,9.633,12.833,24.433,,0,verified_zero,
S0122,raw/videos/S0122.mp4,raw/tactile/S0122.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,stable,0,2.867,7.033,8.833,11.933,24.933,,0,verified_zero,
S0123,raw/videos/S0123.mp4,raw/tactile/S0123.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,stable,0,2.9,8.067,9.667,12.9,24.933,,0,verified_zero,
S0124,raw/videos/S0124.mp4,raw/tactile/S0124.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,stable,0,2.733,7.733,8.933,12.367,24.433,,0,verified_zero,
S0125,raw/videos/S0125.mp4,raw/tactile/S0125.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,normal,stable,0,3.067,9.233,10.8,13.233,24.933,,0,verified_zero,
S0126,raw/videos/S0126.mp4,raw/tactile/S0126.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,normal,rotate,stable,0,2.133,7.767,9.367,11.733,23.667,,0,verified_zero,
S0127,raw/videos/S0127.mp4,raw/tactile/S0127.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,fast,normal,stable,0,2.233,7.267,8.533,10.233,17.5,,0,verified_zero,
S0128,raw/videos/S0128.mp4,raw/tactile/S0128.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,fast,normal,stable,0,2.667,6.867,8.467,10.467,17.3,,0,verified_zero,
S0129,raw/videos/S0129.mp4,raw/tactile/S0129.txt,OBJ008,VT_OBJ008,water,air,water,W2A,clear,fast,normal,stable,0,2.333,6.933,9.033,10.833,17.833,,0,verified_zero,
S0130,raw/videos/S0130.mp4,raw/tactile/S0130.txt,OBJ008,VT_OBJ008,water,air,water,W2A,turbid,normal,normal,stable,0,2.967,9.167,10,13.1,24.067,,0,verified_zero,
S0131,raw/videos/S0131.mp4,raw/tactile/S0131.txt,OBJ008,VT_OBJ008,water,air,water,W2A,turbid,normal,normal,stable,0,3.267,8.867,10.5,13.5,24.733,,0,verified_zero,
S0132,raw/videos/S0132.mp4,raw/tactile/S0132.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,fail,0,2.167,7.333,9,13.1,18.133,,0,verified_zero,
S0133,raw/videos/S0133.mp4,raw/tactile/S0133.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,2.033,7.433,9.767,12.633,24.767,,0,verified_zero,
S0134,raw/videos/S0134.mp4,raw/tactile/S0134.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,1.867,7.867,9.667,12.433,23.633,,0,verified_zero,
S0135,raw/videos/S0135.mp4,raw/tactile/S0135.txt,OBJ009,VT_OBJ009,water,air,water,W2A,clear,normal,normal,stable,0,2.267,8.067,10.067,12.267,24.167,,0,verified_zero,
